,Title,Company,Location,Job Description,When Posted
76,Senior Manager Global Portfolio Management & Transactions,The Walt Disney Company (Corporate),"Burbank, CA","Understanding, tracking and managing data.",Posted 16 days ago·
77,Senior Product Manager,Sidecar Health,"Remote in Los Angeles, CA","Bachelor's or master's degree in computer science, data science, information systems, business administration, or a related field.",Posted 30+ days ago·
78,Earth Science: Data assimilation of atmospheric composition,National Aeronautics and Space Administration...,"Pasadena, CA",Experience with Earth science data analysis.,Posted 9 days ago·
79,Financial Reporting Specialist (Flexible),"Lakeshore Learning Materials, LLC","Long Beach, CA 90810","Strong technical skills in Excel and other data tools, certification highly preferred.",Posted 10 days ago·
80,"Water Resources Engineer, Scientist, or Data Scientist",LimnoTech,"Los Angeles, CA","Data management, processing and assessment, including developing automated tools for data management, analysis, and visualization using modern data science…",Posted 30+ days ago·
81,"Director, Marketing Advanced Analytics",DIRECTV,"Remote in El Segundo, CA","This role requires a highly motivated individual with strong quantitative aptitude, experience forming data-driven strategy, and exceptional data science…",Posted 2 days ago·
82,"Title V Data Research Analyst, Institutional Planning & Research Department",Mount Saint Mary's University,"Los Angeles, CA 90049 ","Bachelor's degree required in data science, data analysis or a related field; Master's degree preferred.",Posted 30+ days ago·
83,Machine Learning Engineer,RAND Corporation,"Los Angeles, CA 90071 ","Research Software Engineers at RAND work in a multidisciplinary environment, closely collaborating with researchers and analysts from a variety of domains.",Posted 26 days ago·
84,"Sr. Data Analyst, Brand Marketing",Golden Hippo,"Los Angeles, CA","Using familiarity with tools such as BigQuery, Fivetran, and other data orchestration platforms, maintain the accuracy of data through data quality controls and…",Posted 30+ days ago·
85,Software Engineer,National Football League,"Inglewood, CA","Degree in computer science, engineering, data science or related field preferred.",Posted 27 days ago·
86,Senior Data Analyst - Subscriber Lifecycle Analytics,Disney Direct to Consumer,"Santa Monica, CA",Experience manipulating large data sets and interpreting data trends using a multitude of disparate data sources and tools.,Posted 30+ days ago·
87,Senior Manager Marketing Analytics DIG,Providence Digital Innovation Group,"Los Angeles, CA 90006","5 years Data Science/ Advanced statistical modeling of marketing data: regression-based propensity models, marketing/media mix models, multi-touch attribution.",Posted 20 days ago·
88,Global Finance and Analytics Manager,Dermalogica LLC,"Hybrid remote in Carson, CA 90746",Dermalogica data structure / strategy implementation – this role is the global lead for the standard sales and financial data model.,Posted 5 days ago·
89,Solutions Architect (Artificial Intelligence),"Tentek, Inc.","Hybrid remote in Culver City, CA 90232","Collaborate with data scientists and engineers to collect, clean, and prepare data for AI model training and evaluation.",Active 5 days ag
90,"Senior Business Intelligence Analyst $110,000 - $140,000 Annual (On-site)",Commerce Casino,"Commerce, CA 90040","POSITION SUMMARY Commerce Casino is hiring a senior business intelligence analyst to join its staff of data scientists, engineers, and analysts on the Data…",Posted 16 days ago·
91,Postdoctoral Scientist - Tatonetti Lab - Data-Driven Precision Pharmacology,CEDARS-SINAI,"West Hollywood, CA",Job Description Join us as we translate today's discoveries into tomorrow's medicine! The Postdoctoral Scientist in the Tatonetti Lab at Cedars-Sinai will…,Posted 30+ days ago·
92,Lead Machine Learning Engineer,Disney Direct to Consumer,"Santa Monica, CA","Disney Entertainment & ESPN Technology On any given day at Disney Entertainment & ESPN Technology, we’re reimagining ways to create magical viewing…",Posted 4 days ago·
93,Engineer- Leadership Development Program,"Pinnacle Asset Integrity Services, LLC","El Segundo, CA 90245","We are building a team of trailblazers, who embody growth, impact, and excellence. Job Description Pinnacle is committed to building future leaders through…",Posted 18 days ago·
94,"Manager, Enterprise Reporting & Analytics",UCLA,"Los Angeles, CA","Enterprise Data & Analytics leads campus-wide enterprise data and analytics including data governance, architecture, data and application integration,…",Posted 2 days ago·
95,Scheduling Pathways and Technology Director (Fixed Hybrid),UCLA Health,"Los Angeles, CA 90095","Description UCLA Health runs and operates over 200 outpatient clinics located in Southern California with over 3,000,000 outpatient encounters annually.…",Posted 30+ days ago·
96,"Assistant Vice President, Expense Management & Analysis (Business Intelligence)","Oaktree Capital Management, L.P.","Los Angeles, CA","Our Company Oaktree is a leader among global investment managers specializing in alternative investments, with $189 billion in assets under management as of…",Posted 30 days ago·
97,"Director, AI Strategy",Herbalife,"Remote in Torrance, CA 90502","Overview: THE ROLE: As the Director of AI Strategy, you will lead our AI and analytics initiatives, driving the development and implementation of data-driven…",Posted 30+ days ago·
98,"Customer Engineer, AI/ML, Google Cloud",Google,"Los Angeles, CA ","This role may also be located in our Playa Vista, CA campus. Note: By applying to this position you will have an opportunity to share your preferred working…",Posted 30+ days ago·
99,"Senior Staff Software Developer, Machine Learning, Ads Understanding",Google,"Los Angeles, CA ","Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Los Angeles, CA, USA; Seattle, WA…",Posted 6 days ago·
100,AWS Data Engineer (Hybrid),Cognizant Technology Solutions,"Hybrid remote in Santa Monica, CA 90403","We are Cognizant Artificial Intelligence Digital technologies, including analytics and AI, give companies a once-in-a-generation opportunity to perform…",Posted 14 days ago·
101,Global Sr. Director of Growth,Acorns,"Los Angeles, CA","At Acorns we look after the financial best interest of the up-and-coming. We are innovators. We make bold decisions. We stay curious, inspiring one another to…",Posted 30+ days ago·
102,Loyalty & Personalization Business Analyst Sr I,Honda,"Hybrid remote in Torrance, CA 90501","Job Purpose The Loyalty & Personalization Business Analyst, part of the CX Transformation & Design department, CX Division, analyzes and summarizes primary,…",Posted 30+ days ago·
